Date,Time,Game ID,Elo,Outcome,Side,Country
5/22/2025,11:59:59 PM,348,341,Loss,Black,Colombia
5/23/2025,11:59:59 PM,349,341,Draw,White,United Kingdom
5/23/2025,11:59:59 PM,350,349,Win,Black,Brazil
5/23/2025,11:59:59 PM,351,357,Win,White,India
5/23/2025,11:59:59 PM,352,350,Loss,White,Brazil
5/23/2025,11:59:59 PM,353,342,Loss,White,Canada
5/24/2025,11:59:59 PM,354,334,Loss,White,Chile
5/24/2025,11:59:59 PM,355,327,Loss,Black,Malaysia
5/24/2025,11:59:59 PM,356,327,Draw,Black,USA
5/24/2025,11:59:59 PM,357,335,Win,White,India
5/25/2025,11:59:59 PM,358,327,Loss,Black,France
5/25/2025,11:59:59 PM,359,327,Draw,Black,Chile
5/25/2025,11:59:59 PM,360,335,Win,White,USA
5/25/2025,11:59:59 PM,361,343,Win,White,Switzerland
5/26/2025,11:59:59 PM,362,351,Win,White,Iraq
5/26/2025,11:59:59 PM,363,358,Win,Black,Ecuador
5/26/2025,11:59:59 PM,364,366,Win,Black,Israel
5/27/2025,11:59:59 PM,365,374,Win,Black,Portugal
5/28/2025,11:59:59 PM,366,366,Loss,White,Mexico
5/28/2025,11:59:59 PM,367,374,Win,Black,Philippines
5/28/2025,11:59:59 PM,368,374,Draw,White,France
5/28/2025,11:59:59 PM,369,382,Win,White,USA
5/28/2025,11:59:59 PM,370,390,Win,White,Morocco
5/28/2025,11:59:59 PM,371,398,Win,Black,USA
5/29/2025,11:59:59 PM,372,406,Win,Black,Iran
5/29/2025,11:59:59 PM,373,414,Win,Black,USA
5/29/2025,11:59:59 PM,374,422,Win,White,USA
5/30/2025,11:59:59 PM,375,414,Loss,Black,Morocco
5/30/2025,11:59:59 PM,376,422,Win,Black,USA
5/30/2025,11:59:59 PM,377,414,Loss,Black,Brazil
5/31/2025,11:59:59 PM,378,406,Loss,White,Peru
5/31/2025,11:59:59 PM,379,398,Loss,White,Brazil
5/31/2025,11:59:59 PM,380,406,Win,White,France
5/31/2025,11:59:59 PM,381,406,Draw,Black,USA
5/31/2025,11:59:59 PM,382,414,Win,Black,USA
6/1/2025,11:59:59 PM,383,422,Win,White,France
6/1/2025,11:59:59 PM,384,414,Loss,White,Spain
6/2/2025,11:59:59 PM,385,422,Win,White,India
6/2/2025,11:59:59 PM,386,414,Loss,Black,France
6/2/2025,11:59:59 PM,387,422,Win,Black,Austria
6/2/2025,11:59:59 PM,388,422,Draw,Black,USA
6/2/2025,11:59:59 PM,389,414,Loss,White,Turkiye
6/2/2025,11:59:59 PM,390,406,Loss,Black,France
6/2/2025,11:59:59 PM,391,413,Win,White,Basque Country
6/3/2025,11:59:59 PM,392,406,Loss,White,USA
6/3/2025,11:59:59 PM,393,398,Loss,White,India
6/3/2025,11:59:59 PM,394,406,Win,White,Philippines
6/3/2025,11:59:59 PM,395,414,Win,Black,South Korea
6/3/2025,11:59:59 PM,396,406,Loss,White,France
6/3/2025,11:59:59 PM,397,398,Loss,Black,USA
6/3/2025,11:59:59 PM,398,390,Loss,White,USA
6/3/2025,11:59:59 PM,399,382,Loss,White,Germany
6/3/2025,11:59:59 PM,400,390,Win,White,France
6/3/2025,11:59:59 PM,401,398,Win,Black,Greece
6/3/2025,11:59:59 PM,402,398,Draw,Black,USA
6/3/2025,11:59:59 PM,403,405,Win,White,USA
6/4/2025,11:59:59 PM,404,397,Loss,Black,India
6/4/2025,11:59:59 PM,405,389,Loss,White,France
6/4/2025,11:59:59 PM,406,389,Draw,Black,Ireland
6/4/2025,11:59:59 PM,407,397,Win,White,Chile
6/6/2025,11:59:59 PM,408,389,Loss,Black,Pakistan
6/6/2025,11:59:59 PM,409,397,Win,White,India
6/6/2025,11:59:59 PM,410,389,Loss,White,India
6/6/2025,11:59:59 PM,411,397,Win,White,South Africa
6/6/2025,11:59:59 PM,412,404,Win,Black,USA
6/6/2025,11:59:59 PM,413,412,Win,White,USA
6/6/2025,11:59:59 PM,414,404,Loss,Black,Argentina
6/6/2025,11:59:59 PM,415,413,Win,Black,Brazil
6/6/2025,11:59:59 PM,416,405,Loss,White,Mexico
